word_id,sentence_id,word,label,is_ne,is_spelling_correct
45,1,Gusto,FIL,,True
46,1,kong,FIL,,True
47,1,intindihin,FIL,,True
48,1,pero,FIL,,True
49,1,hindi,FIL,,True
50,1,ko,FIL,,True
51,1,maintindihan,FIL,,True
52,1,hahaha,OTH,EXPR,True
53,1,paano,FIL,,True
54,1,ba,FIL,,True
55,1,itong,FIL,,True
56,1,mga,FIL,,True
57,1,draw,ENG,,True
58,1,na,FIL,,True
59,1,ganyan,FIL,,True
60,1,po,FIL,,True
61,1,?,OTH,,True
62,2,Kaya,FIL,,True
63,2,kayong,FIL,,True
64,2,mga,FIL,,True
65,2,babae,FIL,,True
66,2,wag,FIL,,True
67,2,kayong,FIL,,True
68,2,basta,FIL,,True
69,2,basta,FIL,,True
70,2,magtiwala,FIL,,True
71,2,na,FIL,,True
72,2,kahit,FIL,,True
73,2,kanino,FIL,,True
74,2,kasi,FIL,,True
75,2,.,OTH,,True
76,3,Kasalan,FIL,,False
77,3,naman,FIL,,True
78,3,nila,FIL,,True
79,3,bakit,FIL,,True
80,3,hindi,FIL,,True
81,3,nila,FIL,,True
82,3,sinabi,FIL,,True
83,3,agad,FIL,,True
84,3,ang,FIL,,True
85,3,totuo,FIL,,False
86,3,",",OTH,,True
87,4,At,FIL,,True
88,4,sila-sila,FIL,,True
89,4,rin,FIL,,True
90,4,ang,FIL,,True
91,4,umuunlad,FIL,,True
92,4,?,OTH,,True
93,5,Nakakamiss,FIL,,True
94,5,ung,FIL,,True
95,5,mga,FIL,,True
96,5,gantong,FIL,,True
97,5,content,ENG,,True
98,5,ni,FIL,,True
99,5,kuya,FIL,,True
100,5,lloyd,OTH,NE,True
101,5,.,OTH,,True
113,7,Sa,FIL,,True
114,7,pamamagitan,FIL,,True
115,7,ng,FIL,,True
116,7,pagsunod,FIL,,True
117,7,sa,FIL,,True
118,7,daan,FIL,,True
119,7,na,FIL,,True
120,7,ginawa,FIL,,True
121,7,ng,FIL,,True
122,7,bundok,FIL,,True
123,7,",",OTH,,True
124,7,nagawa,FIL,,True
125,7,ng,FIL,,True
126,7,maliit,FIL,,True
127,7,na,FIL,,True
128,7,sapa,FIL,,True
129,7,na,FIL,,True
130,7,makabalik,FIL,,True
131,7,sa,FIL,,True
132,7,tahanan,FIL,,True
133,7,nito,FIL,,True
134,7,;,OTH,,True
135,7,sumama,FIL,,True
136,7,ito,FIL,,True
137,7,sa,FIL,,True
138,7,ilog,FIL,,True
139,7,",",OTH,,True
140,7,at,FIL,,True
141,7,dumaloy,FIL,,True
142,7,sa,FIL,,True
143,7,dagat,FIL,,True
144,7,.,OTH,,True
145,8,Sana,FIL,,True
146,8,maging,FIL,,True
147,8,ihimplo,FIL,,True
148,8,ka,FIL,,True
149,8,nang,FIL,,True
150,8,mga,FIL,,True
151,8,Youtuber,ENG,,True
152,8,.,OTH,,True
198,11,Dahil,FIL,,True
199,11,dito,FIL,,True
200,11,",",OTH,,True
201,11,48,OTH,,True
202,11,",",OTH,,True
203,11,530,OTH,,True
204,11,na,FIL,,True
205,11,ang,FIL,,True
206,11,total,ENG,,True
207,11,recoveries,ENG,,True
208,11,sa,FIL,,True
209,11,hanay,FIL,,True
210,11,ng,FIL,,True
211,11,PNP,OTH,ABB_NE,True
212,11,sa,FIL,,True
213,11,naturang,FIL,,True
214,11,sakit,FIL,,True
215,11,.,OTH,,True
225,13,Busy,ENG,,True
226,13,sa,FIL,,True
227,13,pagpapadami,FIL,,True
228,13,ng,FIL,,True
229,13,votes,ENG,,True
230,13,dun,FIL,,True
231,13,sa,FIL,,True
232,13,picture,ENG,,True
